MLS#,CPR,Photos,Original Price,Region,Sold Price,Sold Ratio,Orig. Ratio,Beds,Living Sq Ft,Land Sq Ft,Year,Days,Condition,Tax,Total Fees,Land.1,Building,Assessed Total,Assessed Ratio,Zoning,Flood Zone,View,Pool,Easements,Stories,SoldDate,ListDate,priceInc,priceDec,largeCPR,aboveOrig,fullBaths,halfBaths,rem5Yrs,Parking2,level,Basement,splitLevel
202106505,0,24,1500000,Metro,1400000,0.9333,1.0714,5,3004,10286,1953,41,4.0,303,0,1062600,116200,1178800,1.2725,03 - R10 - Residential District,Zone X,1,0,1,2.0,2021-10-20,2021-06-21,0,0,0,1,3,1,0,2,1,0,0
202123470,0,25,995000,DiamondHd,1088000,1.0935,0.9145,3,1130,5443,1954,10,3.5,276,0,854000,92700,946700,1.051,05 - R-5 Residential District,Zone X,0,0,0,1.0,2021-10-19,2021-09-09,0,0,0,0,1,1,0,3,1,0,0
202120868,0,24,990000,HawaiiKai,1032000,1.0019,0.9593,3,1038,4050,1985,5,6.0,204,0,657200,142500,799700,1.288,05 - R-5 Residential District,Zone D,1,0,0,1.0,2021-10-19,2021-08-27,1,0,0,0,2,0,0,3,1,0,0
202121198,1,18,975000,Metro,993500,1.019,0.9814,5,2374,2893,1987,15,5.0,382,0,692500,315600,1008100,0.9672,05 - R-5 Residential District,Zone X,1,0,1,2.0,2021-10-18,2021-08-18,0,0,0,0,3,0,0,3,1,0,0
202121534,0,5,798000,DiamondHd,820000,1.0276,0.9732,3,768,5000,1950,7,2.0,257,0,747000,44600,791600,1.0081,05 - R-5 Residential District,Zone X,1,0,1,1.0,2021-10-15,2021-09-01,0,0,0,0,1,0,0,1,1,0,0
202126168,0,1,988000,DiamondHd,988000,1.0,1.0,2,1142,7721,1949,63,3.0,273,0,820400,89200,909600,1.0862,04 - R-7.5 Residential District,Zone AE,1,0,1,1.0,2021-10-15,2021-08-13,0,0,0,0,1,0,0,3,1,0,0
202018200,0,8,1198000,Metro,1053550,0.9595,1.1371,14,4164,6105,1947,364,4.0,465,0,688900,452300,1141200,0.9621,05 - R-5 Residential District,Zone X,1,0,1,2.0,2021-10-15,2020-07-28,0,1,0,1,4,1,0,3,0,0,0
202118040,0,25,1490000,DiamondHd,1490000,1.0,1.0,4,1570,4250,1926,21,6.0,266,0,721500,306200,1027700,1.4498,05 - R-5 Residential District,Zone X,1,0,0,2.0,2021-10-15,2021-08-13,0,0,0,0,2,0,0,2,0,1,0
202126042,0,1,1500000,DiamondHd,1500000,1.0,1.0,4,2200,8271,1966,62,6.0,304,0,946200,159800,1106000,1.3562,04 - R-7.5 Residential District,Zone D,1,0,0,1.0,2021-10-15,2021-08-14,0,0,0,0,2,1,0,3,0,0,0
202124199,0,13,880000,DiamondHd,860000,0.9773,1.0233,4,1190,7266,1982,2,3.0,182,0,670000,118600,788600,1.1159,04 - R-7.5 Residential District,Zone D,1,0,0,2.0,2021-10-14,2021-09-19,0,0,0,1,3,0,0,3,0,0,0
